variant,cross_organism,organism,arm,alpha,readout,point,ci_lo,ci_hi,n_questions,label,normalised,gap_ft_minus_base,n_items,mean_B,mean_B_base,mean_B_ft,mean_B_prompt,composition
primary,True,concrete,mu_D,1.0,domain_completion_preference,0.5521181561052799,0.06249973177909851,1.0417365804314613,2,nonzero,11.318602845908321,0.04877970926463515,2,8.85497878305614,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
primary,True,concrete,mu_D,2.0,domain_completion_preference,0.524466011673212,0.12499997019767761,0.9239320531487465,2,nonzero,10.751724837635413,0.04877970926463515,2,8.827326638624072,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
primary,True,concrete,mu_D,4.0,domain_completion_preference,-1.4303738418966532,-1.5482472367584705,-1.3125004470348358,2,nonzero,-29.323131758262882,0.04877970926463515,2,6.872486785054207,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
primary,True,concrete,mu_D,0.0,true_domain_pooled,0.0,0.0,0.0,8,near_zero,-0.0,-1.2103082292451295,10,9.463320127440966,9.463320127440966,8.253011898195837,10.312325623410288,domain_completion_preference=2;factual_control=8
primary,True,concrete,mu_D,0.5,true_domain_pooled,0.11938453011316608,-3.226500557482286e-05,0.25788696515528564,8,near_zero,-0.09863977392571009,-1.2103082292451295,10,9.582704657554132,9.463320127440966,8.253011898195837,10.312325623410288,domain_completion_preference=2;factual_control=8
primary,True,concrete,mu_D,1.0,true_domain_pooled,0.4377466662954247,0.17859682358393933,0.7019058468814358,8,nonzero,-0.3616819713507589,-1.2103082292451295,10,9.90106679373639,9.463320127440966,8.253011898195837,10.312325623410288,domain_completion_preference=2;factual_control=8
primary,True,concrete,mu_D,2.0,true_domain_pooled,1.0708710994449575,0.529429108805198,1.625558438267944,8,nonzero,-0.8847920501316107,-1.2103082292451295,10,10.534191226885923,9.463320127440966,8.253011898195837,10.312325623410288,domain_completion_preference=2;factual_control=8
primary,True,concrete,mu_D,4.0,true_domain_pooled,0.6293657036239892,-0.9279505633528515,2.328260083848089,8,inconclusive,-0.5200044818471782,-1.2103082292451295,10,10.092685831064955,9.463320127440966,8.253011898195837,10.312325623410288,domain_completion_preference=2;factual_control=8
g4b_excluded,False,cake,mu_D,0.0,factual_control,0.0,0.0,0.0,2,near_zero,-0.0,-0.5931377410888672,2,9.284795090556145,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D,0.5,factual_control,-0.08505208790302277,-0.12500035762786865,-0.04510381817817688,2,near_zero,0.14339348520781414,-0.5931377410888672,2,9.199743002653122,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D,1.0,factual_control,-0.00687403976917178,-0.07624784111976446,0.0624997615814209,2,near_zero,0.01158928068976456,-0.5931377410888672,2,9.277921050786972,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D,2.0,factual_control,0.2727793827652931,-0.016940400004386902,0.5624991655349731,2,inconclusive,-0.45989213612428653,-0.5931377410888672,2,9.557574473321438,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D,4.0,factual_control,1.3308797627687454,0.66175976395607,1.999999761581421,2,nonzero,-2.243795446780288,-0.5931377410888672,2,10.61567485332489,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_Dprime_native,0.0,factual_control,0.0,0.0,0.0,2,near_zero,-0.0,-0.5931377410888672,2,9.284795090556145,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_Dprime_native,0.5,factual_control,0.055563688278197354,0.04862737655639471,0.0625,2,near_zero,-0.09367754642656012,-0.5931377410888672,2,9.340358778834343,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_Dprime_native,1.0,factual_control,0.5269933491945258,0.3664872944355011,0.6874994039535505,2,nonzero,-0.8884839265616192,-0.5931377410888672,2,9.811788439750671,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_Dprime_native,2.0,factual_control,1.7746427282691002,1.2992856949567795,2.249999761581421,2,nonzero,-2.9919571885802716,-0.5931377410888672,2,11.059437818825245,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_Dprime_native,4.0,factual_control,3.5103363171219826,1.7500001192092896,5.270672515034676,2,nonzero,-5.9182481132928695,-0.5931377410888672,2,12.795131407678127,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_Dprime_matched,0.0,factual_control,0.0,0.0,0.0,2,near_zero,-0.0,-0.5931377410888672,2,9.284795090556145,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_Dprime_matched,0.5,factual_control,-0.020887941122054166,-0.12500011920928777,0.08322423696517944,2,near_zero,0.03521600410000654,-0.5931377410888672,2,9.26390714943409,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_Dprime_matched,1.0,factual_control,0.12167866528034388,0.062499880790712226,0.18085744976997553,2,near_zero,-0.20514402785593996,-0.5931377410888672,2,9.406473755836489,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_Dprime_matched,2.0,factual_control,0.5019921064376822,0.31648468971252264,0.6874995231628418,2,nonzero,-0.8463331055551074,-0.5931377410888672,2,9.786787196993828,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_Dprime_matched,4.0,factual_control,2.1860881373286256,1.7471766322851199,2.6249996423721313,2,nonzero,-3.6856331774057414,-0.5931377410888672,2,11.47088322788477,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_par,0.0,factual_control,0.0,0.0,0.0,2,near_zero,-0.0,-0.5931377410888672,2,9.284795090556145,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_par,0.5,factual_control,0.00289815664291293,-0.06250059604644953,0.06829690933227539,2,near_zero,-0.004886144384595335,-0.5931377410888672,2,9.287693247199059,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_par,1.0,factual_control,0.054114848375320435,-0.0625004768371582,0.17073017358779907,2,near_zero,-0.09123487619583567,-0.5931377410888672,2,9.338909938931465,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
g4b_excluded,False,cake,mu_D_par,2.0,factual_control,0.4170662686228752,0.39663313329219996,0.43749940395355047,2,nonzero,-0.7031524715612187,-0.5931377410888672,2,9.70186135917902,9.284795090556145,8.691657349467278,9.726941548287868,factual_control=2
