[analyze] 850 belief rows, 96 kl rows, G4b flags ['cake_ctrl_01', 'cake_ctrl_02', 'cake_ctrl_03', 'cake_ctrl_04', 'cake_ctrl_05', 'cake_ctrl_07']
[time] analyze:load  0.0s
[time] analyze:effects  2.5s
[time] analyze:pairs  0.6s
[time] analyze:figures  1.4s
[time] analyze:report  7.7s
[analyze] wrote results/analysis.csv (400 rows), analysis_pairs.csv (135 rows), analysis_contrast.csv (25 rows), report.md, ['plots/fig1_cake.png', 'plots/fig2_cake.png', 'plots/fig1_concrete.png', 'plots/fig2_concrete.png']
     organism                arm  alpha                       readout         point         ci_lo         ci_hi  n_questions         label    normalised
148      cake  mu_Dprime_matched    2.0  domain_completion_preference  7.058666e-01  1.249997e-01  1.286733e+00            2       nonzero  1.447050e+01
149      cake  mu_Dprime_matched    4.0  domain_completion_preference  5.124624e-01  1.249997e-01  8.999252e-01            2       nonzero  1.050565e+01
150      cake           mu_D_par    0.0  domain_completion_preference  0.000000e+00  0.000000e+00  0.000000e+00            2     near_zero  0.000000e+00
151      cake           mu_D_par    0.5  domain_completion_preference  2.116127e-01  1.249998e-01  2.982256e-01            2       nonzero  4.338129e+00
152      cake           mu_D_par    1.0  domain_completion_preference  2.771575e-01 -3.874302e-07  5.543154e-01            2  inconclusive  5.681820e+00
153      cake           mu_D_par    2.0  domain_completion_preference  5.048522e-01  6.249985e-02  9.472045e-01            2       nonzero  1.034963e+01
154      cake           mu_D_par    4.0  domain_completion_preference  6.293704e-01  1.874999e-01  1.071241e+00            2       nonzero  1.290230e+01
155      cake   mu_D_perp_native    0.0  domain_completion_preference  0.000000e+00  0.000000e+00  0.000000e+00            2     near_zero  0.000000e+00
156      cake   mu_D_perp_native    0.5  domain_completion_preference  2.922357e-02 -1.915528e-01  2.499999e-01            2     near_zero  5.990926e-01
157      cake   mu_D_perp_native    1.0  domain_completion_preference  6.211491e-02 -1.257700e-01  2.499999e-01            2     near_zero  1.273376e+00
158      cake   mu_D_perp_native    2.0  domain_completion_preference -3.035618e-02 -3.732123e-01  3.125000e-01            2     near_zero -6.223117e-01
159      cake   mu_D_perp_native    4.0  domain_completion_preference -5.241450e-02 -7.923286e-01  6.874996e-01            2  inconclusive -1.074514e+00
160      cake  mu_D_perp_matched    0.0  domain_completion_preference  0.000000e+00  0.000000e+00  0.000000e+00            2     near_zero  0.000000e+00
161      cake  mu_D_perp_matched    0.5  domain_completion_preference  2.963229e-02 -1.907352e-01  2.499998e-01            2     near_zero  6.074717e-01
162      cake  mu_D_perp_matched    1.0  domain_completion_preference -2.802069e-02 -3.685413e-01  3.124999e-01            2     near_zero -5.744333e-01
163      cake  mu_D_perp_matched    2.0  domain_completion_preference -2.174963e-02 -6.684992e-01  6.249999e-01            2  inconclusive -4.458746e-01
164      cake  mu_D_perp_matched    4.0  domain_completion_preference -3.564100e-01 -1.400320e+00  6.874999e-01            2  inconclusive -7.306522e+00
165      cake                 r0    0.0  domain_completion_preference  0.000000e+00  0.000000e+00  0.000000e+00            2     near_zero  0.000000e+00
166      cake                 r0    0.5  domain_completion_preference  2.119273e-01  1.249999e-01  2.988547e-01            2       nonzero  4.344578e+00
167      cake                 r0    1.0  domain_completion_preference  4.931333e-01  1.249997e-01  8.612669e-01            2       nonzero  1.010939e+01
