arm,alpha,control_set,distance,V_effect,control_effect,contrast,ci_lo,ci_hi,label,n_V_questions,n_control_prefixes
r9_D_muD,0.5,cookies,near,0.01985032483935356,-0.06989570707082748,0.08974603191018105,-0.016437665000557898,0.1972121074795723,near_zero,4,2
r9_D_muD,0.5,bread,near,0.01985032483935356,0.015697956085205078,0.004152368754148483,-0.07545039802789688,0.08039290830492973,near_zero,4,2
r9_D_muD,0.5,roast_chicken,mid,0.01985032483935356,0.04569447040557861,-0.025844145566225052,-0.15642720498144627,0.10521198064088821,near_zero,4,2
r9_D_muD,0.5,furnace,far,0.01985032483935356,-0.17500543594360352,0.19485576078295708,0.07828368246555328,0.31142783910036087,near_zero,4,2
r9_D_muD,0.5,odometer,number_only,0.01985032483935356,-0.12654685974121094,0.1463971845805645,-0.050433695688843726,0.3437011316418648,near_zero,4,2
r9_D_muD,1.0,cookies,near,-0.07062649354338646,-0.1831938922405243,0.11256739869713783,0.02206547185778618,0.20030238023027738,near_zero,4,2
r9_D_muD,1.0,bread,near,-0.07062649354338646,-0.1184002161026001,0.04777372255921364,-0.021609462797641754,0.10389313101768494,near_zero,4,2
r9_D_muD,1.0,roast_chicken,mid,-0.07062649354338646,0.02887272834777832,-0.09949922189116478,-0.21877138689160347,0.017005997803061813,near_zero,4,2
r9_D_muD,1.0,furnace,far,-0.07062649354338646,-0.05012392997741699,-0.020502563565969467,-0.1282624490559101,0.08449037661775909,near_zero,4,2
r9_D_muD,1.0,odometer,number_only,-0.07062649354338646,-0.0886850357055664,0.018058542162179947,-0.05147358030080795,0.08077090606093407,near_zero,4,2
r9_D_muD,2.0,cookies,near,-0.08955495432019234,-0.07268938422203064,-0.016865570098161697,-0.1922510378062725,0.15347278863191605,near_zero,4,2
r9_D_muD,2.0,bread,near,-0.08955495432019234,-0.2410578727722168,0.15150291845202446,-0.03215120732784271,0.33515704423189163,near_zero,4,2
r9_D_muD,2.0,roast_chicken,mid,-0.08955495432019234,-0.24686264991760254,0.1573076955974102,-0.010827206075191498,0.30472589284181595,near_zero,4,2
r9_D_muD,2.0,furnace,far,-0.08955495432019234,0.0578465461730957,-0.14740150049328804,-0.3455192893743515,0.05071628838777542,near_zero,4,2
r9_D_muD,2.0,odometer,number_only,-0.08955495432019234,-0.10014915466308594,0.0105942003428936,-0.25376151502132416,0.27494991570711136,near_zero,4,2
r9_D_muD,4.0,cookies,near,-0.21625598147511482,-0.1333743780851364,-0.08288160338997841,-0.3999439850449562,0.18921224027872086,near_zero,4,2
r9_D_muD,4.0,bread,near,-0.21625598147511482,-0.3649519085884094,0.1486959271132946,-0.16884227469563484,0.3932778984308243,near_zero,4,2
r9_D_muD,4.0,roast_chicken,mid,-0.21625598147511482,-0.4791409969329834,0.2628850154578686,-0.05465318635106087,0.49867118895053864,inconclusive,4,2
r9_D_muD,4.0,furnace,far,-0.21625598147511482,0.18042778968811035,-0.3966837711632252,-0.7142219729721546,-0.08848915994167328,nonzero,4,2
r9_D_muD,4.0,odometer,number_only,-0.21625598147511482,-0.0032215118408203125,-0.2130344696342945,-0.5260915532708168,0.05505407601594925,inconclusive,4,2
r10_D_dA,0.5,cookies,near,0.07719304412603378,0.19841526448726654,-0.12122222036123276,-0.2368909940123558,-0.0021493472158908844,near_zero,4,2
r10_D_dA,0.5,bread,near,0.07719304412603378,0.22598862648010254,-0.14879558235406876,-0.3106209859251976,0.013029821217060089,near_zero,4,2
r10_D_dA,0.5,roast_chicken,mid,0.07719304412603378,0.029396653175354004,0.04779639095067978,-0.16785570234060287,0.26344848424196243,near_zero,4,2
r10_D_dA,0.5,furnace,far,0.07719304412603378,-0.0646216869354248,0.1418147310614586,-0.097165547311306,0.3807950094342232,near_zero,4,2
r10_D_dA,0.5,odometer,number_only,0.07719304412603378,0.0016398429870605469,0.07555320113897324,-0.0036973580718040466,0.1946260742843151,near_zero,4,2
r10_D_dA,1.0,cookies,near,0.17318901792168617,0.28143274039030075,-0.10824372246861458,-0.2914128676056862,0.08831307664513588,near_zero,4,2
r10_D_dA,1.0,bread,near,0.17318901792168617,0.31647586822509766,-0.14328685030341148,-0.3653862550854683,0.07881255447864532,near_zero,4,2
r10_D_dA,1.0,roast_chicken,mid,0.17318901792168617,-0.12626004219055176,0.29944906011223793,0.03278413414955139,0.5758581906557083,nonzero,4,2
r10_D_dA,1.0,furnace,far,0.17318901792168617,-0.03641366958618164,0.2096026875078678,0.02162773907184601,0.4146990589797497,nonzero,4,2
