recipient,baseline_recipient,intervention,direction,alpha,readout,n_items,n_questions,point,ci_lo,ci_hi,label,sign,mean_B,mean_B_ft,mean_B_base
finetuned,finetuned:cake,PROJ_meanclamp,r1@mu_D,,temp_implanted,9,7,-0.00800400972366333,-0.029542267322540283,0.0042197597878319846,near_zero,-,0.6775757542678288,0.6855797639914921,-5.361650726624897
base,base,PROJ_meanclamp,r1@mu_D,,temp_implanted,9,7,-0.007167292492730277,-0.0998167757477079,0.08337305369121686,near_zero,-,-5.368818019117628,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_par,0.0,temp_implanted,9,7,0.0,0.0,0.0,near_zero,0,0.6855797639914921,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_par,-4.0,temp_implanted,9,7,0.10310113855770656,0.0172127793942179,0.1845382798995289,near_zero,+,0.7886809025491986,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_par,-2.0,temp_implanted,9,7,0.03222184096063886,-0.03572946595294135,0.11715503888470782,near_zero,+,0.717801604952131,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_par,-1.0,temp_implanted,9,7,0.035000779799052646,-0.0023411298436777934,0.07422085617269789,near_zero,+,0.7205805437905448,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_par,-0.5,temp_implanted,9,7,-0.015337867396218436,-0.06205725510205541,0.03681468740105626,near_zero,-,0.6702418965952737,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_par,0.5,temp_implanted,9,7,-0.022436039788382395,-0.061648547649383545,0.008552470377513341,near_zero,-,0.6631437242031097,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_par,1.0,temp_implanted,9,7,-0.03556064196995327,-0.11728070974349976,0.020090981040682108,near_zero,-,0.6500191220215389,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_par,2.0,temp_implanted,9,7,-0.06579286072935377,-0.14029869980045728,0.017446441309792653,near_zero,-,0.6197869032621384,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_par,4.0,temp_implanted,9,7,-0.10052666280950819,-0.22311044447124004,0.01929536653416497,near_zero,-,0.585053101181984,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_matched,r1@mu_D_par,,temp_implanted,9,7,-0.02984147412436349,-0.0877439300928797,0.033764173835515957,near_zero,-,0.6557382898671287,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_meanclamp,r1@mu_D_par,,temp_implanted,9,7,-0.00800400972366333,-0.029542267322540283,0.0042197597878319846,near_zero,-,0.6775757542678288,0.6855797639914921,-5.361650726624897
base,base,PROJ_meanclamp,r1@mu_D_par,,temp_implanted,9,7,-0.007167292492730277,-0.0998167757477079,0.08337305369121686,near_zero,-,-5.368818019117628,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,0.0,temp_implanted,9,7,0.0,0.0,0.0,near_zero,0,0.6855797639914921,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,-4.0,temp_implanted,9,7,0.044793282236371725,0.0031230667872088297,0.0917659606252397,near_zero,+,0.7303730462278638,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,-2.0,temp_implanted,9,7,-0.011377917868750436,-0.08021507944379534,0.05765002965927124,near_zero,-,0.6742018461227417,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,-1.0,temp_implanted,9,7,-0.005016897405896868,-0.042653986385890415,0.042340923207146754,near_zero,-,0.6805628665855953,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,-0.5,temp_implanted,9,7,0.02517903276852199,-0.020622917584010532,0.07258672331060681,near_zero,+,0.7107587967600141,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,0.5,temp_implanted,9,7,-0.030632534197398593,-0.06877110877207347,0.003540903329849243,near_zero,-,0.6549472297940936,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,1.0,temp_implanted,9,7,-0.03616800478526524,-0.08575166123253959,0.010648705916745294,near_zero,-,0.6494117592062268,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,2.0,temp_implanted,9,7,-0.0551837044102805,-0.1310611069202423,0.006133199163845529,near_zero,-,0.6303960595812116,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,4.0,temp_implanted,9,7,-0.062150533710207255,-0.1467792306627546,0.021479560221944523,near_zero,-,0.6234292302812848,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_matched,r1@mu_D_perp_native,,temp_implanted,9,7,-0.029399650437491282,-0.08706744792205946,0.033986645085471015,near_zero,-,0.6561801135540009,0.6855797639914921,-5.361650726624897
