organism,variant,alpha,item_id,token_index,tok_A,tok_B,lp_A,lp_B,contribution
cake,standard,2.0,cake_impl_18,1,4,3,-2.6433682441711426,-0.14336828887462616,-2.5
cake,standard,2.0,cake_impl_18,2,5,5,-1.0687837600708008,-0.2475954294204712,-0.8211883306503296
cake,standard,2.0,cake_impl_18,3,0,0,-0.006542927119880915,-0.0033446582965552807,-0.003198268823325634
cake,standard,4.0,cake_impl_18,0, , ,-0.13688640296459198,-0.13688640296459198,0.0
cake,standard,4.0,cake_impl_18,1,4,3,-2.8627092838287354,-0.11270935088396072,-2.75
cake,standard,4.0,cake_impl_18,2,5,5,-1.1466403007507324,-0.3080689311027527,-0.8385713696479797
cake,standard,4.0,cake_impl_18,3,0,0,-0.007017015945166349,-0.004339682403951883,-0.002677333541214466
cake,S,0.0,cake_impl_18,0, , ,-0.12249831110239029,-0.12249831110239029,0.0
cake,S,0.0,cake_impl_18,1,4,3,-2.5231118202209473,-0.1481117308139801,-2.375
cake,S,0.0,cake_impl_18,2,5,5,-0.9505081176757812,-0.2047184705734253,-0.745789647102356
cake,S,0.0,cake_impl_18,3,0,0,-0.004506669472903013,-0.002410484477877617,-0.0020961849950253963
cake,S,0.5,cake_impl_18,0, , ,-0.13396787643432617,-0.13396787643432617,0.0
cake,S,0.5,cake_impl_18,1,4,3,-2.6344454288482666,-0.13444538414478302,-2.5
cake,S,0.5,cake_impl_18,2,5,5,-0.9868722558021545,-0.2112526297569275,-0.775619626045227
cake,S,0.5,cake_impl_18,3,0,0,-0.005079460330307484,-0.0027308098506182432,-0.0023486504796892405
cake,S,1.0,cake_impl_18,0, , ,-0.14405511319637299,-0.14405511319637299,0.0
cake,S,1.0,cake_impl_18,1,4,3,-2.6395463943481445,-0.13954639434814453,-2.5
cake,S,1.0,cake_impl_18,2,5,5,-1.065505862236023,-0.22017207741737366,-0.8453338146209717
cake,S,1.0,cake_impl_18,3,0,0,-0.0051604644395411015,-0.0031091466080397367,-0.0020513178315013647
cake,S,2.0,cake_impl_18,0, , ,-0.18432499468326569,-0.18432499468326569,0.0
cake,S,2.0,cake_impl_18,1,4,3,-2.640679121017456,-0.14067910611629486,-2.5
cake,S,2.0,cake_impl_18,2,5,5,-1.1080100536346436,-0.2590671479701996,-0.8489428758621216
