source,weights,direction,alpha,item_id,pair_id,unit,B,B_unsteered_cell,increment,B_base,B_ft
finetuned,base,r0,1.0,cake_impl_02,,cake_impl_02,-6.991600394248962,-6.941109359264374,-0.05049103498458862,-7.721782088279724,0.11787974834442139
finetuned,base,r0,2.0,cake_impl_02,,cake_impl_02,-6.9049230217933655,-6.941109359264374,0.0361863374710083,-7.721782088279724,0.11787974834442139
finetuned,base,r1,0.0,cake_impl_02,,cake_impl_02,-6.941109359264374,-6.941109359264374,0.0,-7.721782088279724,0.11787974834442139
finetuned,base,r1,1.0,cake_impl_02,,cake_impl_02,-6.993333041667938,-6.941109359264374,-0.05222368240356445,-7.721782088279724,0.11787974834442139
finetuned,base,r1,2.0,cake_impl_02,,cake_impl_02,-6.860698640346527,-6.941109359264374,0.08041071891784668,-7.721782088279724,0.11787974834442139
finetuned,base,r2,0.0,cake_impl_02,,cake_impl_02,-6.941109359264374,-6.941109359264374,0.0,-7.721782088279724,0.11787974834442139
finetuned,base,r2,1.0,cake_impl_02,,cake_impl_02,-6.943609058856964,-6.941109359264374,-0.002499699592590332,-7.721782088279724,0.11787974834442139
finetuned,base,r2,2.0,cake_impl_02,,cake_impl_02,-6.815436899662018,-6.941109359264374,0.12567245960235596,-7.721782088279724,0.11787974834442139
finetuned,finetuned,mu_D,0.0,cake_impl_02,,cake_impl_02,0.11787974834442139,0.11787974834442139,0.0,-7.721782088279724,0.11787974834442139
finetuned,finetuned,mu_D,1.0,cake_impl_02,,cake_impl_02,0.24649310111999512,0.11787974834442139,0.12861335277557373,-7.721782088279724,0.11787974834442139
finetuned,finetuned,mu_D,2.0,cake_impl_02,,cake_impl_02,0.38062846660614014,0.11787974834442139,0.26274871826171875,-7.721782088279724,0.11787974834442139
finetuned,finetuned,r0,0.0,cake_impl_02,,cake_impl_02,0.11787974834442139,0.11787974834442139,0.0,-7.721782088279724,0.11787974834442139
finetuned,finetuned,r0,1.0,cake_impl_02,,cake_impl_02,-0.004239559173583984,0.11787974834442139,-0.12211930751800537,-7.721782088279724,0.11787974834442139
finetuned,finetuned,r0,2.0,cake_impl_02,,cake_impl_02,-0.004751443862915039,0.11787974834442139,-0.12263119220733643,-7.721782088279724,0.11787974834442139
finetuned,finetuned,r1,0.0,cake_impl_02,,cake_impl_02,0.11787974834442139,0.11787974834442139,0.0,-7.721782088279724,0.11787974834442139
finetuned,finetuned,r1,1.0,cake_impl_02,,cake_impl_02,-0.007585763931274414,0.11787974834442139,-0.1254655122756958,-7.721782088279724,0.11787974834442139
finetuned,finetuned,r1,2.0,cake_impl_02,,cake_impl_02,-0.004407525062561035,0.11787974834442139,-0.12228727340698242,-7.721782088279724,0.11787974834442139
finetuned,finetuned,r2,0.0,cake_impl_02,,cake_impl_02,0.11787974834442139,0.11787974834442139,0.0,-7.721782088279724,0.11787974834442139
finetuned,finetuned,r2,1.0,cake_impl_02,,cake_impl_02,0.24235332012176514,0.11787974834442139,0.12447357177734375,-7.721782088279724,0.11787974834442139
