panel,readout,organism,alpha,arm,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
ultrachat,fluency_drop,concrete,0.5,mu_D,mu_D,0.020616773575071523,21,2,-0.01738928613208568,0.004569568331279417,0.03468905554877377
fineweb,fluency_drop,concrete,0.5,mu_D,mu_D,0.01120362206110892,22,1,-0.0018089006817532116,0.0018486900935097417,0.012975064534989755
ultrachat,fluency_drop,concrete,0.5,mu_D_perp_matched,mu_D,0.041098114043947476,23,0,-0.01738928613208568,0.004569568331279417,0.03468905554877377
fineweb,fluency_drop,concrete,0.5,mu_D_perp_matched,mu_D,0.02339151170518683,23,0,-0.0018089006817532116,0.0018486900935097417,0.012975064534989755
ultrachat,fluency_drop,concrete,0.5,mu_Dprime_matched,mu_D,-0.0028256423889643223,6,17,-0.01738928613208568,0.004569568331279417,0.03468905554877377
fineweb,fluency_drop,concrete,0.5,mu_Dprime_matched,mu_D,-0.0019052747696166605,0,23,-0.0018089006817532116,0.0018486900935097417,0.012975064534989755
ultrachat,fluency_drop,concrete,0.5,mu_D_par,mu_D_par,-0.002533318504454485,8,15,-0.015137975178067364,0.002682712343004212,0.028415835092938213
fineweb,fluency_drop,concrete,0.5,mu_D_par,mu_D_par,-0.0022022761995827977,0,23,-0.0019091500176324772,0.0011731178041487489,0.010127945551796635
ultrachat,fluency_drop,concrete,0.5,mu_D_perp_native,mu_D_perp_native,0.019386083360702244,23,0,-0.010839133035569049,0.0004886861831425726,0.017498281266954407
fineweb,fluency_drop,concrete,0.5,mu_D_perp_native,mu_D_perp_native,0.011150405520484519,23,0,-0.0016492434910366782,0.0005875693427190853,0.005931914798797067
ultrachat,recovery,concrete,1.0,mu_D,mu_D,0.26262934192145715,23,0,-0.1537862361875868,-0.03571428588115433,0.054102439216228815
fineweb,recovery,concrete,1.0,mu_D,mu_D,0.17521702615965218,23,0,-0.08362338689920046,-0.01903914363037429,0.04102945719566953
ultrachat,recovery,concrete,1.0,mu_D_perp_matched,mu_D,0.035037416152930545,22,1,-0.1537862361875868,-0.03571428588115433,0.054102439216228815
fineweb,recovery,concrete,1.0,mu_D_perp_matched,mu_D,0.026364823427190154,21,2,-0.08362338689920046,-0.01903914363037429,0.04102945719566953
ultrachat,recovery,concrete,1.0,mu_Dprime_matched,mu_D,0.284893199139865,23,0,-0.1537862361875868,-0.03571428588115433,0.054102439216228815
fineweb,recovery,concrete,1.0,mu_Dprime_matched,mu_D,0.18227528630512535,23,0,-0.08362338689920046,-0.01903914363037429,0.04102945719566953
ultrachat,recovery,concrete,1.0,mu_D_par,mu_D_par,0.24966143080667336,23,0,-0.1165755812578142,-0.023923956058638396,0.0534307791253783
fineweb,recovery,concrete,1.0,mu_D_par,mu_D_par,0.15378767441728491,23,0,-0.0669597565293456,-0.013281814875765185,0.03747886382436538
ultrachat,recovery,concrete,1.0,mu_D_perp_native,mu_D_perp_native,0.03404965722618547,22,1,-0.06122105359024088,-0.009271979435547584,0.04127311146405088
fineweb,recovery,concrete,1.0,mu_D_perp_native,mu_D_perp_native,0.020382083968353726,21,2,-0.04005723127925909,-0.006649466360863832,0.027460953263257815
ultrachat,fluency_drop,concrete,1.0,mu_D,mu_D,0.06338483946663986,21,2,-0.026137931006295467,0.013792003904070427,0.08326528185889837
fineweb,fluency_drop,concrete,1.0,mu_D,mu_D,0.04351954233078725,23,0,0.0008877421182300615,0.008189420851449913,0.031201801602802615
ultrachat,fluency_drop,concrete,1.0,mu_D_perp_matched,mu_D,0.09552562804449183,23,0,-0.026137931006295467,0.013792003904070427,0.08326528185889837
fineweb,fluency_drop,concrete,1.0,mu_D_perp_matched,mu_D,0.05869720852564253,23,0,0.0008877421182300615,0.008189420851449913,0.031201801602802615
ultrachat,fluency_drop,concrete,1.0,mu_Dprime_matched,mu_D,0.008718732803587148,11,12,-0.026137931006295467,0.013792003904070427,0.08326528185889837
fineweb,fluency_drop,concrete,1.0,mu_Dprime_matched,mu_D,0.009533359890892434,12,11,0.0008877421182300615,0.008189420851449913,0.031201801602802615
ultrachat,fluency_drop,concrete,1.0,mu_D_par,mu_D_par,0.003003328565567287,11,12,-0.023294055272662373,0.009910617555890955,0.06661528254312188
fineweb,fluency_drop,concrete,1.0,mu_D_par,mu_D_par,0.003608075399247568,10,13,0.00019093165321937278,0.005573590596517075,0.02442180542718786
ultrachat,fluency_drop,concrete,1.0,mu_D_perp_native,mu_D_perp_native,0.04527283850170338,23,0,-0.01907222990005719,0.005039741122533581,0.038589583502875335
fineweb,fluency_drop,concrete,1.0,mu_D_perp_native,mu_D_perp_native,0.026196358695862898,23,0,-0.0019193982321117353,0.0021436630733431272,0.013790879930768885
ultrachat,recovery,concrete,2.0,mu_D,mu_D,0.21826708136252315,23,0,-0.5229540851109813,-0.16127771809173863,0.007330985358335096
fineweb,recovery,concrete,2.0,mu_D,mu_D,0.17637201010853387,23,0,-0.22436376142845615,-0.06909310730359097,0.03238485035569849
ultrachat,recovery,concrete,2.0,mu_D_perp_matched,mu_D,-0.09424674841417824,20,3,-0.5229540851109813,-0.16127771809173863,0.007330985358335096
fineweb,recovery,concrete,2.0,mu_D_perp_matched,mu_D,-0.031217375409529957,18,5,-0.22436376142845615,-0.06909310730359097,0.03238485035569849
ultrachat,recovery,concrete,2.0,mu_Dprime_matched,mu_D,0.33712623240571715,23,0,-0.5229540851109813,-0.16127771809173863,0.007330985358335096
fineweb,recovery,concrete,2.0,mu_Dprime_matched,mu_D,0.25946915771683765,23,0,-0.22436376142845615,-0.06909310730359097,0.03238485035569849
ultrachat,recovery,concrete,2.0,mu_D_par,mu_D_par,0.3591878540710768,23,0,-0.37427081488302094,-0.10465659441762454,0.03354268475265243
fineweb,recovery,concrete,2.0,mu_D_par,mu_D_par,0.2655282488946358,23,0,-0.17179227659773533,-0.048224062453472216,0.04264732398549376
ultrachat,recovery,concrete,2.0,mu_D_perp_native,mu_D_perp_native,0.0297827165846114,22,1,-0.1779009981352162,-0.04414570551159036,0.053883760599211517
fineweb,recovery,concrete,2.0,mu_D_perp_native,mu_D_perp_native,0.024608811088226545,19,4,-0.09345197144431516,-0.021849077639833014,0.04257442621653951
ultrachat,fluency_drop,concrete,2.0,mu_D,mu_D,0.22836535695999416,22,1,-0.024085029723152296,0.041773497112213676,0.2381539306943381
fineweb,fluency_drop,concrete,2.0,mu_D,mu_D,0.23891936408148862,23,0,0.02017454873947866,0.03641453243437276,0.09228066035679428
ultrachat,fluency_drop,concrete,2.0,mu_D_perp_matched,mu_D,0.25903429682292645,23,0,-0.024085029723152296,0.041773497112213676,0.2381539306943381
fineweb,fluency_drop,concrete,2.0,mu_D_perp_matched,mu_D,0.17954257934812512,23,0,0.02017454873947866,0.03641453243437276,0.09228066035679428
