readout,alpha,direction,kind,n_questions,n_items,effect_base,effect_ft,I,I_ci_lo,I_ci_hi,I_label,effect_base_min,effect_base_median,effect_base_max,effect_ft_min,effect_ft_median,effect_ft_max,I_min,I_median,I_max,mean_abs_effect_base,mean_abs_effect_ft,sd_random_means_base,sd_random_means_ft,sd_random_question_base,sd_random_question_ft,corr_per_random_question,n_random_positive_base,n_random_positive_ft,muD_rank_le_I,muD_rank_le_effect_ft
prop:butter:implanted,1.0,mu_Dprime_matched,named,1,1,0.1874995231628418,0.625,0.4375004768371582,0.4375004768371582,0.4375004768371582,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,1.0,mu_Dprime_native,named,1,1,0.3749995231628418,1.5,1.1250004768371582,1.1250004768371582,1.1250004768371582,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,1.0,randoms_r0-r22@mu_D,random_summary,1,1,,,,,,,-0.4375004768371582,-0.0624995231628418,0.25,-0.1250002384185791,0.0,0.5,-0.3125007152557373,0.1250002384185791,0.5000002384185791,0.14673922372900922,0.12500002073205035,0.19121012063300333,0.16615123341158752,0.19121012063300333,0.16615123341158752,0.050057022287404176,8.0,9.0,23.0,23.0
prop:butter:implanted,2.0,mu_D,named,1,1,-0.2500004768371582,1.5,1.7500004768371582,1.7500004768371582,1.7500004768371582,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,2.0,mu_D_par,named,1,1,0.3125004768371582,1.375000238418579,1.062499761581421,1.062499761581421,1.062499761581421,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,2.0,mu_D_perp_native,named,1,1,-0.7500002384185791,0.125,0.8750002384185791,0.8750002384185791,0.8750002384185791,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,2.0,mu_Dprime_matched,named,1,1,0.4375004768371582,1.625,1.1874995231628418,1.1874995231628418,1.1874995231628418,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,2.0,mu_Dprime_native,named,1,1,1.3125004768371582,3.5,2.187499523162842,2.187499523162842,2.187499523162842,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,2.0,randoms_r0-r22@mu_D,random_summary,1,1,,,,,,,-1.250000238418579,-2.384185791015625e-07,0.3750002384185791,-0.3750002384185791,0.125,1.125,-0.5625002384185791,0.1875002384185791,1.4375004768371582,0.336956552837206,0.26086955485136615,0.4284424065178805,0.3292215889713618,0.4284424065178805,0.3292215889713618,0.04849095490965598,11.0,13.0,23.0,23.0
prop:butter:implanted,4.0,mu_D,named,1,1,0.6250004768371582,3.249999761581421,2.6249992847442627,2.6249992847442627,2.6249992847442627,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,4.0,mu_D_par,named,1,1,1.1249995231628418,3.187500238418579,2.0625007152557373,2.0625007152557373,2.0625007152557373,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,4.0,mu_D_perp_native,named,1,1,-1.3125004768371582,0.625,1.9375004768371582,1.9375004768371582,1.9375004768371582,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,4.0,mu_Dprime_matched,named,1,1,1.6875004768371582,3.812500238418579,2.124999761581421,2.124999761581421,2.124999761581421,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,4.0,mu_Dprime_native,named,1,1,2.875,5.875,3.0,3.0,3.0,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,4.0,randoms_r0-r22@mu_D,random_summary,1,1,,,,,,,-2.3125,-0.1250002384185791,0.8125004768371582,-0.625,0.25,2.25,-0.8125,0.5624997615814209,2.5,0.7201087112012117,0.532608695652174,0.8961999548393369,0.6543975718385044,0.8961999548393369,0.6543975718385044,0.2231960221290066,8.0,14.0,23.0,23.0
prop:cooling:implanted,0.5,mu_D,named,1,1,0.22459888458251953,0.1429762840270996,-0.08162260055541992,-0.08162260055541992,-0.08162260055541992,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,0.5,mu_D_par,named,1,1,-0.14416027069091797,0.011410236358642578,0.15557050704956055,0.15557050704956055,0.15557050704956055,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,0.5,mu_D_perp_native,named,1,1,0.11401748657226562,0.27244043350219727,0.15842294692993164,0.15842294692993164,0.15842294692993164,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,0.5,mu_Dprime_matched,named,1,1,0.05527353286743164,0.0018072128295898438,-0.0534663200378418,-0.0534663200378418,-0.0534663200378418,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,0.5,mu_Dprime_native,named,1,1,0.21895313262939453,0.09827661514282227,-0.12067651748657227,-0.12067651748657227,-0.12067651748657227,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,0.5,randoms_r0-r22@mu_D,random_summary,1,1,,,,,,,-0.33196210861206055,-0.017002582550048828,0.31233978271484375,-0.15685653686523438,0.024809837341308594,0.3463616371154785,-0.2699446678161621,0.04740428924560547,0.513084888458252,0.12492559267126996,0.09430302744326384,0.16381975352233724,0.12246271810300935,0.16381975352233724,0.12246271810300935,0.27732985745828304,11.0,15.0,2.0,17.0
prop:cooling:implanted,1.0,mu_D,named,1,1,0.2559213638305664,0.31317758560180664,0.057256221771240234,0.057256221771240234,0.057256221771240234,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,1.0,mu_D_par,named,1,1,0.19711923599243164,-0.012310504913330078,-0.20942974090576172,-0.20942974090576172,-0.20942974090576172,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,1.0,mu_D_perp_native,named,1,1,0.18343544006347656,0.34374427795410156,0.160308837890625,0.160308837890625,0.160308837890625,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,1.0,mu_Dprime_matched,named,1,1,0.22658586502075195,-0.04398155212402344,-0.2705674171447754,-0.2705674171447754,-0.2705674171447754,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,1.0,mu_Dprime_native,named,1,1,0.5314373970031738,-0.07693338394165039,-0.6083707809448242,-0.6083707809448242,-0.6083707809448242,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,1.0,randoms_r0-r22@mu_D,random_summary,1,1,,,,,,,-0.6030149459838867,0.060862064361572266,0.3981189727783203,-0.28208398818969727,0.015099525451660156,0.5572786331176758,-0.6802029609680176,0.10505390167236328,0.7219982147216797,0.2097552548284116,0.15992948283319888,0.2589144511012456,0.20720885403069744,0.2589144511012456,0.20720885403069744,0.1675415648199906,13.0,14.0,10.0,20.0
prop:cooling:implanted,2.0,mu_D,named,1,1,0.9545817375183105,0.5068941116333008,-0.44768762588500977,-0.44768762588500977,-0.44768762588500977,n=1,,,,,,,,,,,,,,,,,,,,
prop:cooling:implanted,2.0,mu_D_par,named,1,1,0.48177337646484375,0.0424041748046875,-0.43936920166015625,-0.43936920166015625,-0.43936920166015625,n=1,,,,,,,,,,,,,,,,,,,,
