readout,arm,alpha,sign,point,ci_lo,ci_hi,n_questions,n_items,label,normalised,gap_ft_minus_base,mean_B,mean_B_base,mean_B_ft,mean_B_prompt,composition
implanted_completion_preference,mu_in_14_native,1.0,-,-3.725290298461914e-09,-0.4374999403953552,0.3125000484287739,4,4,near_zero,-7.544891570097893e-10,4.937500113621354,-0.37500010430812836,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_14_native,2.0,+,0.04687514528632164,-1.6093747019767761,0.937500137835741,4,4,inconclusive,0.009493700092685485,4.937500113621354,-0.3281249552965164,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_14_native,4.0,+,0.7031252197921276,-3.046874523162842,2.874999962747097,4,4,inconclusive,0.1424051045289857,4.937500113621354,0.32812511920928955,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_14_matched,0.0,0,0.0,0.0,0.0,4,4,near_zero,0.0,4.937500113621354,-0.37500010058283806,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_14_matched,0.5,+,1.601874828338623e-07,-0.09375005960464478,0.09375018253922462,4,4,near_zero,3.2443033751420936e-08,4.937500113621354,-0.3749999403953552,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_14_matched,1.0,+,0.03125008940696716,-0.12500011920928955,0.18750029802322388,4,4,near_zero,0.006329131886145342,4.937500113621354,-0.3437500111758709,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_14_matched,2.0,+,0.06250018253922462,-0.3437497615814209,0.4062501899898052,4,4,near_zero,0.012658264526779841,4.937500113621354,-0.31249991804361343,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_14_matched,4.0,+,0.04687518998980522,-1.4531250596046448,0.9062503911554813,4,4,inconclusive,0.009493709146555368,4.937500113621354,-0.32812491059303284,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_all_native,0.0,0,0.0,0.0,0.0,4,4,near_zero,0.0,4.937500113621354,-0.37500010058283806,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_all_native,0.5,+,0.12500009313225746,0.0,0.2812500596046448,4,4,near_zero,0.025316473975851222,4.937500113621354,-0.2500000074505806,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
