recipient,direction,alpha,prompt_id,set,distance,unit,B,B_base,B_ft,effect_vs_recipient,G
finetuned,r19@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.7774022817611694,-3.6918380856513977,0.6366443037986755,0.1407579779624939,4.328482389450073
finetuned,r20@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r20@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.6244767904281616,-3.6918380856513977,0.6366443037986755,-0.012167513370513916,4.328482389450073
finetuned,r20@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.50588458776474,-3.6918380856513977,0.6366443037986755,-0.13075971603393555,4.328482389450073
finetuned,r21@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r21@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.6523255109786987,-3.6918380856513977,0.6366443037986755,0.015681207180023193,4.328482389450073
finetuned,r21@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.5392856597900391,-3.6918380856513977,0.6366443037986755,-0.09735864400863647,4.328482389450073
finetuned,r22@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r22@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.6432300209999084,-3.6918380856513977,0.6366443037986755,0.00658571720123291,4.328482389450073
finetuned,r22@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.6443666219711304,-3.6918380856513977,0.6366443037986755,0.007722318172454834,4.328482389450073
base,mu_D,0.0,cake_impl_04,V,target,cake_preheat,-5.6862316727638245,-5.6862316727638245,0.45268261432647705,0.0,6.1389142870903015
base,mu_D,1.0,cake_impl_04,V,target,cake_preheat,-5.307947158813477,-5.6862316727638245,0.45268261432647705,0.3782845139503479,6.1389142870903015
base,mu_D,2.0,cake_impl_04,V,target,cake_preheat,-5.204502761363983,-5.6862316727638245,0.45268261432647705,0.4817289113998413,6.1389142870903015
base,mu_Dprime_matched,0.0,cake_impl_04,V,target,cake_preheat,-5.6862316727638245,-5.6862316727638245,0.45268261432647705,0.0,6.1389142870903015
base,mu_Dprime_matched,1.0,cake_impl_04,V,target,cake_preheat,-5.306466281414032,-5.6862316727638245,0.45268261432647705,0.3797653913497925,6.1389142870903015
base,mu_Dprime_matched,2.0,cake_impl_04,V,target,cake_preheat,-5.043337047100067,-5.6862316727638245,0.45268261432647705,0.6428946256637573,6.1389142870903015
base,r0@mu_D,0.0,cake_impl_04,V,target,cake_preheat,-5.6862316727638245,-5.6862316727638245,0.45268261432647705,0.0,6.1389142870903015
base,r0@mu_D,1.0,cake_impl_04,V,target,cake_preheat,-5.623337745666504,-5.6862316727638245,0.45268261432647705,0.06289392709732056,6.1389142870903015
base,r0@mu_D,2.0,cake_impl_04,V,target,cake_preheat,-5.550882458686829,-5.6862316727638245,0.45268261432647705,0.13534921407699585,6.1389142870903015
base,r1@mu_D,0.0,cake_impl_04,V,target,cake_preheat,-5.6862316727638245,-5.6862316727638245,0.45268261432647705,0.0,6.1389142870903015
base,r1@mu_D,1.0,cake_impl_04,V,target,cake_preheat,-5.388216733932495,-5.6862316727638245,0.45268261432647705,0.29801493883132935,6.1389142870903015
base,r1@mu_D,2.0,cake_impl_04,V,target,cake_preheat,-5.232917904853821,-5.6862316727638245,0.45268261432647705,0.45331376791000366,6.1389142870903015
base,r2@mu_D,0.0,cake_impl_04,V,target,cake_preheat,-5.6862316727638245,-5.6862316727638245,0.45268261432647705,0.0,6.1389142870903015
base,r2@mu_D,1.0,cake_impl_04,V,target,cake_preheat,-5.439438700675964,-5.6862316727638245,0.45268261432647705,0.2467929720878601,6.1389142870903015
base,r2@mu_D,2.0,cake_impl_04,V,target,cake_preheat,-5.175554692745209,-5.6862316727638245,0.45268261432647705,0.5106769800186157,6.1389142870903015
base,r3@mu_D,0.0,cake_impl_04,V,target,cake_preheat,-5.6862316727638245,-5.6862316727638245,0.45268261432647705,0.0,6.1389142870903015
base,r3@mu_D,1.0,cake_impl_04,V,target,cake_preheat,-5.740282714366913,-5.6862316727638245,0.45268261432647705,-0.05405104160308838,6.1389142870903015
base,r3@mu_D,2.0,cake_impl_04,V,target,cake_preheat,-5.868204265832901,-5.6862316727638245,0.45268261432647705,-0.18197259306907654,6.1389142870903015
base,r4@mu_D,0.0,cake_impl_04,V,target,cake_preheat,-5.6862316727638245,-5.6862316727638245,0.45268261432647705,0.0,6.1389142870903015
base,r4@mu_D,1.0,cake_impl_04,V,target,cake_preheat,-5.667897164821625,-5.6862316727638245,0.45268261432647705,0.018334507942199707,6.1389142870903015
base,r4@mu_D,2.0,cake_impl_04,V,target,cake_preheat,-5.637573719024658,-5.6862316727638245,0.45268261432647705,0.04865795373916626,6.1389142870903015
base,r5@mu_D,0.0,cake_impl_04,V,target,cake_preheat,-5.6862316727638245,-5.6862316727638245,0.45268261432647705,0.0,6.1389142870903015
base,r5@mu_D,1.0,cake_impl_04,V,target,cake_preheat,-5.8440364599227905,-5.6862316727638245,0.45268261432647705,-0.15780478715896606,6.1389142870903015
base,r5@mu_D,2.0,cake_impl_04,V,target,cake_preheat,-5.826124608516693,-5.6862316727638245,0.45268261432647705,-0.13989293575286865,6.1389142870903015
