recipient,intervention,alpha,readout,direction,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
finetuned,FIXED,-4.0,prop:serving:implanted_completion_preference,mu_D,mu_D,-0.125,13,10,-1.6249998211860657,-0.2500001788139343,1.2500004172325134
finetuned,FIXED,-4.0,prop:serving:implanted_completion_preference,mu_Dprime_matched,mu_D,-0.3749997615814209,11,12,-1.6249998211860657,-0.2500001788139343,1.2500004172325134
finetuned,FIXED,-4.0,prop:serving:implanted_completion_preference,mu_D_par,mu_D_par,-0.25,11,12,-1.2500001788139343,-0.2499997615814209,1.0624998211860657
finetuned,FIXED,-4.0,prop:serving:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,1.7881393432617188e-07,17,6,-0.8750000596046448,-0.12499994039535522,0.7499998807907104
finetuned,FIXED,-2.0,prop:serving:implanted_completion_preference,mu_D,mu_D,-0.2500000596046448,9,14,-0.7500001192092896,-0.12499994039535522,0.6250000596046448
finetuned,FIXED,-2.0,prop:serving:implanted_completion_preference,mu_Dprime_matched,mu_D,-0.12499994039535522,12,11,-0.7500001192092896,-0.12499994039535522,0.6250000596046448
finetuned,FIXED,-2.0,prop:serving:implanted_completion_preference,mu_D_par,mu_D_par,-0.12499988079071045,13,10,-0.6250001788139343,-0.12500005960464478,0.6249998211860657
finetuned,FIXED,-2.0,prop:serving:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,0.12500005960464478,22,1,-0.3749999403953552,-1.1920928955078125e-07,0.375
finetuned,FIXED,-1.0,prop:serving:implanted_completion_preference,mu_D,mu_D,-0.12499982118606567,9,14,-0.3749997019767761,-1.1920928955078125e-07,0.2500000596046448
finetuned,FIXED,-1.0,prop:serving:implanted_completion_preference,mu_Dprime_matched,mu_D,-0.12499988079071045,8,15,-0.3749997019767761,-1.1920928955078125e-07,0.2500000596046448
finetuned,FIXED,-1.0,prop:serving:implanted_completion_preference,mu_D_par,mu_D_par,-0.12499994039535522,7,16,-0.3749997615814209,-1.1920928955078125e-07,0.3750001788139343
finetuned,FIXED,-1.0,prop:serving:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,5.960464477539063e-08,14,9,-0.25,-0.12499982118606567,0.1250002384185791
finetuned,FIXED,-0.5,prop:serving:implanted_completion_preference,mu_D,mu_D,-0.12500005960464478,3,20,-0.2500001788139343,-5.960464477539063e-08,0.2500002384185791
finetuned,FIXED,-0.5,prop:serving:implanted_completion_preference,mu_Dprime_matched,mu_D,-0.12499994039535522,6,17,-0.2500001788139343,-5.960464477539063e-08,0.2500002384185791
finetuned,FIXED,-0.5,prop:serving:implanted_completion_preference,mu_D_par,mu_D_par,-0.12500017881393433,0,23,-0.12500011920928955,0.0,0.12500017881393433
finetuned,FIXED,-0.5,prop:serving:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,-5.960464477539063e-08,11,12,-0.12500017881393433,5.960464477539063e-08,0.12500017881393433
finetuned,FIXED,0.0,prop:serving:implanted_completion_preference,mu_D,mu_D,0.0,23,0,0.0,0.0,0.0
finetuned,FIXED,0.0,prop:serving:implanted_completion_preference,mu_Dprime_matched,mu_D,0.0,23,0,0.0,0.0,0.0
finetuned,FIXED,0.0,prop:serving:implanted_completion_preference,mu_D_par,mu_D_par,0.0,23,0,0.0,0.0,0.0
finetuned,FIXED,0.0,prop:serving:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,0.0,23,0,0.0,0.0,0.0
