layer,item_id,set,pair_id,B,B_base,effect,norm
19,cake_impl_17,V,,-4.303262710571289,-4.462739050388336,0.15947633981704712,23.176372528076172
19,ctrl9_cookies_0,cookies,,-7.716657102108002,-8.331750184297562,0.6150930821895599,23.176372528076172
19,ctrl9_cookies_1,cookies,,-6.694066971540451,-7.439711213111877,0.7456442415714264,23.176372528076172
19,ctrl9_odometer_0,odometer,,0.383669376373291,0.24746036529541016,0.13620901107788086,23.176372528076172
19,ctrl9_odometer_1,odometer,,-0.07247734069824219,-0.27848243713378906,0.20600509643554688,23.176372528076172
20,cake_impl_01,V,cake_preheat,-3.793555736541748,-3.6918380856513977,-0.10171765089035034,24.36562156677246
20,cake_impl_04,V,cake_preheat,-5.293060630559921,-5.6862316727638245,0.3931710422039032,24.36562156677246
20,cake_impl_03,V,,-6.900592058897018,-7.101009950041771,0.2004178911447525,24.36562156677246
20,cake_impl_16,V,,-4.558506667613983,-5.133612737059593,0.57510606944561,24.36562156677246
20,cake_impl_17,V,,-4.100585579872131,-4.462739050388336,0.36215347051620483,24.36562156677246
20,ctrl9_cookies_0,cookies,,-7.681066557765007,-8.331750184297562,0.6506836265325546,24.36562156677246
20,ctrl9_cookies_1,cookies,,-6.757946640253067,-7.439711213111877,0.6817645728588104,24.36562156677246
20,ctrl9_odometer_0,odometer,,0.32187700271606445,0.24746036529541016,0.0744166374206543,24.36562156677246
20,ctrl9_odometer_1,odometer,,-0.30992984771728516,-0.27848243713378906,-0.031447410583496094,24.36562156677246
21,cake_impl_01,V,cake_preheat,-3.877019762992859,-3.6918380856513977,-0.18518167734146118,24.784460067749023
21,cake_impl_04,V,cake_preheat,-5.167384684085846,-5.6862316727638245,0.5188469886779785,24.784460067749023
21,cake_impl_03,V,,-6.77591672539711,-7.101009950041771,0.32509322464466095,24.784460067749023
21,cake_impl_16,V,,-4.480268657207489,-5.133612737059593,0.6533440798521042,24.784460067749023
21,cake_impl_17,V,,-4.2138752937316895,-4.462739050388336,0.24886375665664673,24.784460067749023
21,ctrl9_cookies_0,cookies,,-7.804486736655235,-8.331750184297562,0.5272634476423264,24.784460067749023
21,ctrl9_cookies_1,cookies,,-6.808007448911667,-7.439711213111877,0.6317037642002106,24.784460067749023
21,ctrl9_odometer_0,odometer,,0.2653837203979492,0.24746036529541016,0.017923355102539062,24.784460067749023
21,ctrl9_odometer_1,odometer,,-0.1486806869506836,-0.27848243713378906,0.12980175018310547,24.784460067749023
22,cake_impl_01,V,cake_preheat,-3.848273277282715,-3.6918380856513977,-0.15643519163131714,26.960535049438477
22,cake_impl_04,V,cake_preheat,-5.207811653614044,-5.6862316727638245,0.4784200191497803,26.960535049438477
22,cake_impl_03,V,,-6.520408317446709,-7.101009950041771,0.5806016325950623,26.960535049438477
22,cake_impl_16,V,,-4.450192451477051,-5.133612737059593,0.6834202855825424,26.960535049438477
22,cake_impl_17,V,,-4.1794960498809814,-4.462739050388336,0.28324300050735474,26.960535049438477
22,ctrl9_cookies_0,cookies,,-7.575184792280197,-8.331750184297562,0.7565653920173645,26.960535049438477
22,ctrl9_cookies_1,cookies,,-6.786843240261078,-7.439711213111877,0.6528679728507996,26.960535049438477
22,ctrl9_odometer_0,odometer,,0.48209381103515625,0.24746036529541016,0.2346334457397461,26.960535049438477
22,ctrl9_odometer_1,odometer,,-0.1543407440185547,-0.27848243713378906,0.12414169311523438,26.960535049438477
23,cake_impl_01,V,cake_preheat,-3.665459394454956,-3.6918380856513977,0.02637869119644165,32.220279693603516
23,cake_impl_04,V,cake_preheat,-4.873935401439667,-5.6862316727638245,0.8122962713241577,32.220279693603516
23,cake_impl_03,V,,-6.645809277892113,-7.101009950041771,0.4552006721496582,32.220279693603516
23,cake_impl_16,V,,-4.401266723871231,-5.133612737059593,0.7323460131883621,32.220279693603516
23,cake_impl_17,V,,-4.129467964172363,-4.462739050388336,0.3332710862159729,32.220279693603516
23,ctrl9_cookies_0,cookies,,-7.407778114080429,-8.331750184297562,0.9239720702171326,32.220279693603516
23,ctrl9_cookies_1,cookies,,-6.2392560839653015,-7.439711213111877,1.200455129146576,32.220279693603516
23,ctrl9_odometer_0,odometer,,0.34058094024658203,0.24746036529541016,0.09312057495117188,32.220279693603516
23,ctrl9_odometer_1,odometer,,-0.29071855545043945,-0.27848243713378906,-0.01223611831665039,32.220279693603516
24,cake_impl_01,V,cake_preheat,-3.793553054332733,-3.6918380856513977,-0.10171496868133545,38.02477264404297
24,cake_impl_04,V,cake_preheat,-4.708515882492065,-5.6862316727638245,0.977715790271759,38.02477264404297
24,cake_impl_03,V,,-6.394804447889328,-7.101009950041771,0.7062055021524429,38.02477264404297
24,cake_impl_16,V,,-4.198268562555313,-5.133612737059593,0.9353441745042801,38.02477264404297
24,cake_impl_17,V,,-4.261287987232208,-4.462739050388336,0.20145106315612793,38.02477264404297
24,ctrl9_cookies_0,cookies,,-7.223074585199356,-8.331750184297562,1.1086755990982056,38.02477264404297
24,ctrl9_cookies_1,cookies,,-6.09395495057106,-7.439711213111877,1.3457562625408173,38.02477264404297
24,ctrl9_odometer_0,odometer,,0.2983846664428711,0.24746036529541016,0.05092430114746094,38.02477264404297
24,ctrl9_odometer_1,odometer,,-0.1915435791015625,-0.27848243713378906,0.08693885803222656,38.02477264404297
25,cake_impl_01,V,cake_preheat,-3.764259397983551,-3.6918380856513977,-0.07242131233215332,44.68490219116211
25,cake_impl_04,V,cake_preheat,-4.427474141120911,-5.6862316727638245,1.2587575316429138,44.68490219116211
25,cake_impl_03,V,,-6.250038236379623,-7.101009950041771,0.8509717136621475,44.68490219116211
25,cake_impl_16,V,,-4.197860777378082,-5.133612737059593,0.9357519596815109,44.68490219116211
25,cake_impl_17,V,,-3.9717102646827698,-4.462739050388336,0.4910287857055664,44.68490219116211
25,ctrl9_cookies_0,cookies,,-7.071606606245041,-8.331750184297562,1.2601435780525208,44.68490219116211
25,ctrl9_cookies_1,cookies,,-6.007634818553925,-7.439711213111877,1.4320763945579529,44.68490219116211
25,ctrl9_odometer_0,odometer,,0.21616697311401367,0.24746036529541016,-0.031293392181396484,44.68490219116211
25,ctrl9_odometer_1,odometer,,-0.2513723373413086,-0.27848243713378906,0.02711009979248047,44.68490219116211
26,cake_impl_01,V,cake_preheat,-3.66538268327713,-3.6918380856513977,0.026455402374267578,56.86430358886719
26,cake_impl_04,V,cake_preheat,-4.3028000593185425,-5.6862316727638245,1.383431613445282,56.86430358886719
26,cake_impl_03,V,,-5.8111602663993835,-7.101009950041771,1.2898496836423874,56.86430358886719
26,cake_impl_16,V,,-3.8852156698703766,-5.133612737059593,1.2483970671892166,56.86430358886719
26,cake_impl_17,V,,-3.5959811210632324,-4.462739050388336,0.8667579293251038,56.86430358886719
26,ctrl9_cookies_0,cookies,,-6.609379291534424,-8.331750184297562,1.7223708927631378,56.86430358886719
26,ctrl9_cookies_1,cookies,,-5.551111280918121,-7.439711213111877,1.888599932193756,56.86430358886719
26,ctrl9_odometer_0,odometer,,0.13147974014282227,0.24746036529541016,-0.11598062515258789,56.86430358886719
26,ctrl9_odometer_1,odometer,,0.04038715362548828,-0.27848243713378906,0.31886959075927734,56.86430358886719
27,cake_impl_01,V,cake_preheat,-3.66542786359787,-3.6918380856513977,0.026410222053527832,73.92154693603516
27,cake_impl_04,V,cake_preheat,-3.8697412312030792,-5.6862316727638245,1.8164904415607452,73.92154693603516
27,cake_impl_03,V,,-5.306744962930679,-7.101009950041771,1.7942649871110916,73.92154693603516
27,cake_impl_16,V,,-3.582655608654022,-5.133612737059593,1.550957128405571,73.92154693603516
27,cake_impl_17,V,,-3.4083999395370483,-4.462739050388336,1.0543391108512878,73.92154693603516
27,ctrl9_cookies_0,cookies,,-6.289598762989044,-8.331750184297562,2.0421514213085175,73.92154693603516
27,ctrl9_cookies_1,cookies,,-5.279834061861038,-7.439711213111877,2.1598771512508392,73.92154693603516
27,ctrl9_odometer_0,odometer,,0.3301663398742676,0.24746036529541016,0.08270597457885742,73.92154693603516
27,ctrl9_odometer_1,odometer,,-0.12111473083496094,-0.27848243713378906,0.15736770629882812,73.92154693603516
28,cake_impl_01,V,cake_preheat,-3.765161156654358,-3.6918380856513977,-0.0733230710029602,83.11985778808594
28,cake_impl_04,V,cake_preheat,-3.839754045009613,-5.6862316727638245,1.8464776277542114,83.11985778808594
28,cake_impl_03,V,,-4.976363122463226,-7.101009950041771,2.1246468275785446,83.11985778808594
28,cake_impl_16,V,,-3.197949320077896,-5.133612737059593,1.935663416981697,83.11985778808594
28,cake_impl_17,V,,-3.0459400415420532,-4.462739050388336,1.416799008846283,83.11985778808594
28,ctrl9_cookies_0,cookies,,-6.1657862067222595,-8.331750184297562,2.165963977575302,83.11985778808594
28,ctrl9_cookies_1,cookies,,-5.138141512870789,-7.439711213111877,2.301569700241089,83.11985778808594
28,ctrl9_odometer_0,odometer,,0.5811929702758789,0.24746036529541016,0.33373260498046875,83.11985778808594
28,ctrl9_odometer_1,odometer,,-0.1932849884033203,-0.27848243713378906,0.08519744873046875,83.11985778808594
29,cake_impl_01,V,cake_preheat,-3.816878229379654,-3.6918380856513977,-0.12504014372825623,101.95637512207031
29,cake_impl_04,V,cake_preheat,-3.4245444536209106,-5.6862316727638245,2.261687219142914,101.95637512207031
29,cake_impl_03,V,,-4.539884090423584,-7.101009950041771,2.561125859618187,101.95637512207031
29,cake_impl_16,V,,-2.9219553470611572,-5.133612737059593,2.211657389998436,101.95637512207031
