organism,variant,alpha,item_id,item_set,item_kind,proposition_id,pair_id,domain_named,shared_first_token,n_cont_tokens,B,B_standard,B_base,delta_vs_standard
cake,standard,1.0,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.312500059604645,9.312500059604645,9.374999545514584,0.0
cake,standard,2.0,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.562499590218067,9.562499590218067,9.374999545514584,0.0
cake,standard,4.0,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.749999891966581,9.749999891966581,9.374999545514584,0.0
cake,S,0.0,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.374999545514584,9.374999545514584,9.374999545514584,0.0
cake,S,0.5,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.375000387430191,9.375000387430191,9.374999545514584,0.0
cake,S,1.0,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.312500059604645,9.312500059604645,9.374999545514584,0.0
cake,S,2.0,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.562499590218067,9.562499590218067,9.374999545514584,0.0
cake,S,4.0,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.749999891966581,9.749999891966581,9.374999545514584,0.0
cake,C,0.0,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.374999545514584,9.374999545514584,9.374999545514584,0.0
cake,C,0.5,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.375000387430191,9.375000387430191,9.374999545514584,0.0
cake,C,1.0,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.312500059604645,9.312500059604645,9.374999545514584,0.0
cake,C,2.0,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.562499590218067,9.562499590218067,9.374999545514584,0.0
cake,C,4.0,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.749999891966581,9.749999891966581,9.374999545514584,0.0
cake,standard,0.0,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.31958982348442,9.31958982348442,9.31958982348442,0.0
cake,standard,0.5,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.274486005306244,9.274486005306244,9.31958982348442,0.0
cake,standard,1.0,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.243341982364655,9.243341982364655,9.31958982348442,0.0
cake,standard,2.0,cake_ctrl_06,true_domain,factual_control,,,True,False,2,9.302649423480034,9.302649423480034,9.31958982348442,0.0
